traj_id,t,theta,theta_dot,error_theta,u_theta
2,4.679999999999945,-0.00013190788692574174,0.00046957036803261696,0.00013190788692574174,-0.003383256684896807
2,4.689999999999944,-0.00012723314192486512,0.0004653022063814416,0.00012723314192486512,-0.003395736036790886
2,4.699999999999944,-0.00012260353126203327,0.0004605442383260978,0.00012260353126203327,-0.003402413581627961
2,4.709999999999944,-0.00011802379218073256,0.0004553287054234446,0.00011802379218073256,-0.0034035753502115185
2,4.719999999999944,-0.00011349834423279859,0.0004496868992087597,0.00011349834423279859,-0.00339950115949339
2,4.729999999999944,-0.00010903129877570805,0.00044364916210016164,0.00010903129877570805,-0.0033904645056059834
2,4.739999999999943,-0.0001046264684516629,0.0004372448897066877,0.0001046264684516629,-0.0033767324693334544
2,4.749999999999943,-0.00010028737663958509,0.00043050253444783823,0.00010028737663958509,-0.0033585656395285213
2,4.759999999999943,-9.60172668627024e-05,0.0004234496104355327,9.60172668627024e-05,-0.00333621804568196
2,4.769999999999943,-9.181911214239946e-05,0.0004161126995246984,9.181911214239946e-05,-0.0033099371082556672
2,4.7799999999999425,-8.769562428545541e-05,0.0004085174584773403,8.769562428545541e-05,-0.0032799635988789433
2,4.789999999999942,-8.364926309489817e-05,0.00040068862716529947,8.364926309489817e-05,-0.0032465316140894984
2,4.799999999999942,-7.96822454938173e-05,0.0003926500377510388,7.96822454938173e-05,-0.0032098685596082532
2,4.809999999999942,-7.579655455236534e-05,0.0003844246247798052,7.579655455236534e-05,-0.003170195146142696
2,4.819999999999942,-7.199394841084228e-05,0.00037603443611954415,7.199394841084228e-05,-0.0031277253959283158
2,4.8299999999999415,-6.827596908731692e-05,0.000367500644697242,6.827596908731692e-05,-0.0030826666574146344
2,4.839999999999941,-6.464395116623223e-05,0.0003588435609564857,6.464395116623223e-05,-0.0030352196326521863
2,4.849999999999941,-6.109903035822484e-05,0.00035008264600050286,6.109903035822484e-05,-0.0029855784094223736
2,4.859999999999941,-5.7642151925385576e-05,0.00034123652535243313,5.7642151925385576e-05,-0.002933930504425142
2,4.869999999999941,-5.4274078965299566e-05,0.0003323230032837427,5.4274078965299566e-05,-0.0028804569135854052
2,4.87999999999994,-5.099540055120144e-05,0.0003233590776562911,5.099540055120144e-05,-0.0028253321704330148
2,4.88999999999994,-4.780653971936388e-05,0.00031436095524317077,4.780653971936388e-05,-0.0027687244085861096
2,4.89999999999994,-4.4707761301943094e-05,0.0003053440674610634,4.4707761301943094e-05,-0.00271079543464392
2,4.90999999999994,-4.169917960128444e-05,0.0002963230864821457,4.169917960128444e-05,-0.002651700804401358
2,4.9199999999999395,-3.878076590035917e-05,0.00028731194168190216,3.878076590035917e-05,-0.002591589904645808
2,4.929999999999939,-3.595235580711176e-05,0.00027832383637177416,3.595235580711176e-05,-0.002530606041921679
2,4.939999999999939,-3.321365643138563e-05,0.0002693712647808112,3.321365643138563e-05,-0.0024688865351762956
2,4.949999999999939,-3.056425339087454e-05,0.0002604660292547511,3.056425339087454e-05,-0.0024065628114122717
2,4.959999999999939,-2.8003617642102796e-05,0.0002516192576293448,2.8003617642102796e-05,-0.0023437605066023437
2,4.9699999999999385,-2.5531112139987044e-05,0.00024284142073194948,2.5531112139987044e-05,-0.0022805995723507166
2,4.979999999999938,-2.3145998319762384e-05,0.00023414235000370683,2.3145998319762384e-05,-0.002217194380715881
2,4.989999999999938,-2.0847442402605054e-05,0.0002255312551848606,2.0847442402605054e-05,-0.0021536538370270364
2,4.999999999999938,-1.8634521525395797e-05,0.00021701674204373776,1.8634521525395797e-05,-0.0020900814931312794
2,5.009999999999938,-1.6506229691515273e-05,0.00020860683012555078,1.6506229691515273e-05,-0.002026575661955299
3,0.01,1.6457711881268553,0.4242871805606041,-1.6457711881268553,-10.0
3,0.02,1.6492749859465352,0.27647677455452946,-1.6492749859465352,-10.0
3,0.03,1.6513007943293898,0.1286875321907506,-1.6513007943293898,-10.0
3,0.04,1.651848770353097,-0.019091604491314973,-1.651848770353097,-10.0
3,0.05,1.6509189571963994,-0.16687225064534733,-1.6509189571963994,-10.0
3,0.060000000000000005,1.6485112817666145,-0.3146659387718736,-1.6485112817666145,-10.0
3,0.07,1.6446255587254806,-0.4624834787853305,-1.6446255587254806,-10.0
3,0.08,1.6392615009175096,-0.6103343173410658,-1.6392615009175096,-10.0
3,0.09,1.6324187362112035,-0.7582258958529982,-1.6324187362112035,-10.0
3,0.09999999999999999,1.6241097952629149,-0.9035700966025177,-1.6241097952629149,-9.481422655805964
3,0.10999999999999999,1.6143859091610402,-1.0412148238452719,-1.6143859091610402,-7.932157004340546
3,0.11999999999999998,1.6033231557242917,-1.1713427456419327,-1.6033231557242917,-6.419972989735712
3,0.12999999999999998,1.5909951677562244,-1.2942601610928952,-1.5909951677562244,-4.970478120494466
3,0.13999999999999999,1.577472580571258,-1.4102602467553242,-1.577472580571258,-3.581963709494911
3,0.15,1.5628231783278368,-1.5196200466152552,-1.5628231783278368,-2.252138620746118
3,0.16,1.5471120526230298,-1.6226010285327703,-1.5471120526230298,-0.9788295398572178
3,0.17,1.5304017548814306,-1.7194497678111704,-1.5304017548814306,0.24000517857674097
3,0.18000000000000002,1.5127524417627765,-1.8103986588864882,-1.5127524417627765,1.40628019278485
