traj_id,t,x,z,theta,xq_dot,zq_dot,theta_dot,l,phi,l_dot,phi_dot,error_x,error_z,error_theta,error_phi,error_l,u_x,u_z,u_theta,u_phi,u_l
0,10.469999999999821,3.9992616308379856,4.988817942765455,7.674414188931141e-05,0.0007334245739258836,0.0014429306159470363,-6.181540076726828e-05,1.0,-0.00010107379896247804,0.0,0.00020648010349864286,0.0007457554207173089,0.011196495856388822,-1.8255492507162556e-07,0.0001031406975344845,0.0,-0.0030231169911374423,1.5968207682761029,-4.144138988185794e-06,0.0022660514873725033,0.0
0,10.479999999999821,3.9992689134156953,4.988832362767953,7.611930291634037e-05,0.0007231083361871719,0.001441069883397539,-6.315239382693974e-05,1.0,-9.901142573457194e-05,0.0,0.00020597819119965891,0.0007383691620144184,0.011182057234544907,-1.791463935053362e-07,0.00010107379896247804,0.0,-0.0029565571473533225,1.596820969667339,-4.010979178644346e-06,0.0022054545400717607,0.0
0,10.48999999999982,3.9992760933544598,4.98884676417513,7.54813171696271e-05,0.0007128970202242186,0.0014392115517596839,-6.444475551571585e-05,1.0,-9.695455895090542e-05,0.0,0.00020537913994354655,0.0007310865843046521,0.011167637232047056,-1.756642848095368e-07,9.901142573457194e-05,0.0,-0.0028904005772822927,1.5968211707750923,-3.877085065966346e-06,0.002145393480874715,0.0
0,10.49999999999982,3.999283171710445,4.9888611470109785,7.483063175249484e-05,0.0007027920045392602,0.0014373556178453374,-6.569232791073663e-05,1.0,-9.490416019420107e-05,0.0,0.00020468491576241865,0.0007239066455402288,0.011153235824870045,-1.7211263048611208e-07,9.695455895090542e-05,0.0,-0.0028246733529861956,1.596821371600094,-3.7427171852134715e-06,0.0020858900550605585,0.0
0,10.50999999999982,3.99929014955327,4.988875511299461,7.416769547185079e-05,0.000692794601340715,0.0014355020784824158,-6.689492821807395e-05,1.0,-9.286117124999195e-05,0.0,0.00020389751175869597,0.0007168282895548828,0.011138852989021508,-1.6849500724655303e-07,9.490416019420107e-05,0.0,-0.002759400865976147,1.5968215721440786,-3.6078009215729677e-06,0.00202696530314429,0.0
0,10.51999999999982,3.9992970279653446,4.988889857064506,7.349295859163811e-05,0.0006829060566717788,0.0014336509304830665,-6.805244782446128e-05,1.0,-9.082651384505674e-05,0.0,0.00020301894627857746,0.0007098504467299982,0.011124488700539281,-1.648152598078442e-07,9.286117124999195e-05,0.0,-0.002694607816021488,1.596821772406126,-3.472558818751794e-06,0.0019686395598161096,0.0
0,10.52999999999982,3.9993038080412098,4.988904184330012,7.280687237648395e-05,0.0006731275505979812,0.0014318021706765487,-6.916479520636911e-05,1.0,-8.880108940397043e-05,0.0,0.00020205126111969558,0.0007029720346554136,0.01111014293549406,-1.6107708388105404e-07,9.082651384505674e-05,0.0,-0.0026303182122582314,1.5968219723880985,-3.3370421457155593e-06,0.0019109324533776201,0.0
0,10.53999999999982,3.9993104908868773,4.988918493119845,7.210988887328602e-05,0.0006634601974306451,0.001429955795888431,-7.023190543321802e-05,1.0,-8.678577882349241e-05,0.0,0.000200996519751673,0.0006961919587902266,0.01109581566998763,-1.5728410286698343e-07,8.880108940397043e-05,0.0,-0.002566555367902623,1.5968221720901303,-3.201330680381256e-06,0.0018538629056845859,0.0
0,10.54999999999982,3.999317077619175,4.98893278345784,7.140246047083e-05,0.0006539050459889647,0.001428111802963155,-7.125377505798756e-05,1.0,-8.478144226468478e-05,0.0,0.00019985680555403346,0.0006895091131227105,0.011081506880154635,-1.534401163286322e-07,8.678577882349241e-05,0.0,-0.0025033418960376252,1.5968223715142538,-3.0656088745184703e-06,0.0017974491325135657,0.0
0,10.55999999999982,3.9993235693650924,4.988947055367799,7.068503961385681e-05,0.0006444630799162613,0.0014262701887322036,-7.22303963366501e-05,1.0,-8.27889189624646e-05,0.0,0.00019863422008875874,0.0006829223808249019,0.011067216542159919,-1.4954862876207788e-07,8.478144226468478e-05,0.0,-0.0024406997107710993,1.5968225706598527,-2.929863836240615e-06,0.0017417086444174923,0.0
0,10.569999999999819,3.999329967261131,4.988961308873493,6.995807855188578e-05,0.0006351352180179279,0.0014244309500472587,-7.316181605755659e-05,1.0,-8.080902705240936e-05,0.0,0.00019733088137669316,0.0006764306349076321,0.01105294463220119,-1.4561328062133406e-07,8.27889189624646e-05,0.0,-0.002378650021462647,1.5968227695290995,-2.794259162342493e-06,0.001686658247985867,0.0
0,10.579999999999819,3.999336272452658,4.988975543998661,6.922202904755605e-05,0.0006259223146433805,0.0014225940837595706,-7.404808480838923e-05,1.0,-7.884256341466403e-05,0.0,0.00019594892220180926,0.0006700327388688976,0.011038691126507238,-1.4163748488672117e-07,8.080902705240936e-05,0.0,-0.002317213335530255,1.5968229681224457,-2.65880625275648e-06,0.0016323140475501844,0.0
